season,team,opening_day_payroll_usd,wins,prorated_wins,runs_scored,runs_allowed,pyth_wpct,pyth_wins_162,dollars_per_win
2006,Toronto Blue Jays,71915000,87,87.0,809,754,0.5336845043431018,86.45688970358249,826609.1954022988
2006,Texas Rangers,68228662,80,80.0,835,784,0.5304664413614847,85.93556350056052,852858.275
2006,Detroit Tigers,82612866,95,95.0,822,675,0.5921787717496269,95.93296102343955,869609.1157894736
2006,Washington Nationals,63143000,71,71.0,746,872,0.4250446187828189,68.85722824281666,889338.0281690141
2006,Baltimore Orioles,72585582,70,70.0,768,899,0.42372824577398166,68.64397581538503,1036936.8857142857
2006,Philadelphia Phillies,88273333,85,85.0,865,812,0.5308755509438996,86.00183925291174,1038509.8
2006,New York Mets,101084963,97,97.0,834,731,0.562851071339991,91.18187355707855,1042113.0206185566
2006,St. Louis Cardinals,88891371,83,83.0,781,762,0.5117760950949323,82.90772740537903,1070980.373493976
2006,Los Angeles Dodgers,98447187,88,88.0,820,751,0.5420790271985043,87.8168024061577,1118718.0340909092
2006,Seattle Mariners,87959833,78,78.0,756,792,0.4777859713884038,77.40132736492141,1127690.1666666667
2006,Houston Astros,92551503,82,82.0,735,719,0.5103277688931683,82.67309856069328,1128676.8658536586
2006,Atlanta Braves,90156876,79,79.0,849,805,0.5258934453097703,85.19473814018279,1141226.2784810127
2006,Chicago White Sox,102750667,90,90.0,868,794,0.5433467613497769,88.02217533866386,1141674.0777777778
2006,Los Angeles Angels,103472000,89,89.0,766,732,0.5214775854439017,84.47936884191206,1162606.7415730336
2006,San Francisco Giants,90056419,76,76.0,746,790,0.4726566293201067,76.57037394985728,1184952.8815789474
2006,Boston Red Sox,120099824,86,86.0,820,825,0.4970441717922476,80.52115583034411,1396509.5813953488
2006,Chicago Cubs,94424499,66,66.0,716,834,0.42759111938628147,69.2697613405776,1430674.2272727273
2006,New York Yankees,194663079,97,97.0,930,767,0.5934269324535749,96.13516305747913,2006835.8659793814
2007,Tampa Bay Rays,24123500,66,66.0,782,944,0.4082353264465962,66.13412288434859,365507.57575757575
2007,Miami Marlins,30507000,71,71.0,790,891,0.44140585666334387,71.5077487794617,429676.05633802817
2007,Washington Nationals,37347500,73,73.0,673,783,0.42939840217942504,69.56254115306686,511609.58904109587
2007,Pittsburgh Pirates,38537833,68,68.0,724,846,0.42583766761182346,68.9857021531154,566732.8382352941
